Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1987-09-29,09:31:00,19.5,25.5,26.5,8,78,100,-99.9,-99.9
1987-09-30,10:25:00,21.5,22,27,5.4,89,100,-99.9,-99.9
1987-10-01,09:13:00,14.5,17.5,24.5,1,46,100,-99.9,-99.9
1987-10-02,09:29:00,10,23,23.5,0,64,100,-99.9,-99.9
1987-10-03,10:28:00,14.5,23.5,24.5,0,54,100,-99.9,-99.9
1987-10-04,09:29:00,7,13.5,24,0,46,100,-99.9,-99.9
1987-10-05,09:37:00,6.6,18.5,18.5,0,61,100,-99.9,-99.9
1987-10-06,09:29:00,8,22,21.5,0,67,100,-99.9,-99.9
1987-10-07,09:36:00,16.5,21.5,26.5,0,58,100,-99.9,-99.9
1987-10-08,09:46:00,8.5,15,23.5,0,59,100,-99.9,-99.9
1987-10-09,09:45:00,8.5,17.5,20,0,73,100,-99.9,-99.9
1987-10-10,09:01:00,13.5,21,21,0,85,100,-99.9,-99.9
1987-10-11,09:15:00,17.5,21,22.5,0,96,100,-99.9,-99.9
1987-10-12,09:26:00,16.3,17,24,0,79,100,-99.9,-99.9
1987-10-13,09:41:00,8.5,11.5,17,0,49,93,-99.9,-99.9
1987-10-14,09:34:00,5,13.5,17,0,65,99,-99.9,-99.9
1987-10-15,09:43:00,8,15,19,0,-99.9,-99.9,-99.9,-99.9
1987-10-16,09:51:00,9.5,16.5,20,0,-99.9,-99.9,-99.9,-99.9
1987-10-17,09:38:00,13,17.5,21.5,0,-99.9,-99.9,-99.9,-99.9
1987-10-18,09:48:00,12.5,22.5,26,0,-99.9,-99.9,-99.9,-99.9
1987-10-19,09:28:00,12.5,21,23.5,0,80,100,-99.9,-99.9
1987-10-20,09:51:00,15,22.5,22.5,0,79,100,-99.9,-99.9
1987-10-21,09:50:00,15,22,25,0,55,100,-99.9,-99.9
1987-10-22,09:43:00,5,15.5,25,0,51,100,-99.9,-99.9
1987-10-23,09:39:00,6.5,16,16,0,67,100,-99.9,-99.9
1987-10-24,12:24:00,12.5,21,21,0,63,100,-99.9,-99.9
